userId,currentDay,phase,collectedMemories,topicsDone,lastActiveDay,dishesCooked,lifetimeHeirlooms
Ub63cbd15ec142d44c2c70a45b42327fe,1,night,[],[],2026-02-09T10:40:42.968Z,[],"{""BITTER"":{""obtained"":true,""name"":""彎曲的縫紉針"",""desc"":""說不出口的對不起，\n和這根針一起生鏽了。"",""date"":""2026-02-08""},""SWEET"":{""obtained"":false,""name"":""???"",""desc"":"""",""date"":""""},""BALANCED"":{""obtained"":true,""name"":""銀頂針"",""desc"":""背面刻著：\n*For my dearest Miyuki*"",""date"":""2026-02-09""}}"
U6891e0f0d76a3d16c111d3b5e5de3e19,3,after,"[""失憶"",""迷茫"",""雨聲"",""潮濕"",""蜜糖笑容"",""女兒-美雪"",""婚紗"",""執念"",""雪"",""死亡"",""寒冷"",""最後一針"",""閣樓""]","[""origin"",""hands_part1"",""rain"",""cooking_soup_part1"",""cooking_soup_part2"",""transition_expand_1"",""transition_expand_2"",""transition_expand_3"",""transition_expand_4"",""transition_expand_5"",""transition_expand_6"",""transition_expand_7"",""transition_expand_8"",""transition_expand_9"",""transition_expand_10"",""transition_expand_11"",""dream_part1"",""dream_part2"",""search"",""death"",""snow_then"",""day2_after_bitter_1"",""day2_after_bitter_2"",""day2_after_bitter_6"",""day2_to_day3_transition_1"",""day2_to_day3_transition_2"",""day2_to_day3_transition_3"",""day2_to_day3_transition_4"",""day2_to_day3_transition_7"",""cooking_final_part1"",""cooking_final_part2""]",2026-02-10T06:17:30.753Z,"[""熱湯"",""苦辛醒神湯"",""百味蜜汁炙燒魚""]","{""BITTER"":{""obtained"":true,""name"":""彎曲的縫紉針"",""desc"":""針尖已經彎了，他用了很久。\n像是一聲嘆息。"",""date"":""2026-02-10""},""SWEET"":{""obtained"":false,""name"":""???"",""desc"":"""",""date"":""""},""BALANCED"":{""obtained"":false,""name"":""???"",""desc"":"""",""date"":""""}}"
Ua70e15e37370e491166b5a3e0c265269,1,day,"[""失憶"",""迷茫"",""雨聲"",""潮濕"",""寧靜"",""陪伴"",""針"",""縫線"",""寒冷"",""裁縫手藝"",""銀座的驕傲""]","[""origin"",""rain"",""silence"",""hands_part1"",""hands_part2"",""hands_pride""]",2026-02-10T05:19:56.487Z,[],"{""BITTER"":{""obtained"":false,""name"":""???"",""desc"":"""",""date"":""""},""SWEET"":{""obtained"":false,""name"":""???"",""desc"":"""",""date"":""""},""BALANCED"":{""obtained"":false,""name"":""???"",""desc"":"""",""date"":""""}}"
U8dae58976bb4ecb29265360965adc9f8,1,cooking,"[""寧靜"",""陪伴""]","[""silence""]",2026-02-10T05:16:09.449Z,[],"{""BITTER"":{""obtained"":false,""name"":""???"",""desc"":"""",""date"":""""},""SWEET"":{""obtained"":false,""name"":""???"",""desc"":"""",""date"":""""},""BALANCED"":{""obtained"":false,""name"":""???"",""desc"":"""",""date"":""""}}"
U633c5f44f412b8ee07d00f2b6a903bd5,3,after,"[""針"",""縫線"",""寒冷"",""裁縫手藝"",""雨聲"",""潮濕"",""銀座的驕傲"",""空蕩的店"",""蜜糖笑容"",""女兒-美雪"",""婚紗"",""眼淚"",""缺席的典禮""]","[""hands_part1"",""hands_part2"",""rain"",""hands_pride"",""twilight_artisan"",""cooking_tea_part1"",""cooking_tea_part2"",""cooking_tea_part3"",""transition_expand_1"",""transition_expand_2"",""transition_expand_3"",""transition_expand_4"",""transition_expand_5"",""transition_expand_6"",""transition_expand_7"",""transition_expand_8"",""transition_expand_9"",""transition_expand_10"",""transition_expand_11"",""dream_part1"",""dream_part2"",""dream_part3"",""ceremony_rift"",""day2_after_honey_1"",""day2_after_honey_4"",""day2_after_honey_6"",""day2_to_day3_transition_1"",""day2_to_day3_transition_2"",""day2_to_day3_transition_3"",""day2_to_day3_transition_5"",""day2_to_day3_transition_7"",""cooking_final_part1"",""cooking_final_part2""]",2026-02-10T09:04:59.640Z,"[""熱茶"",""蜜汁燉菜"",""糖霜幻景拼盤""]","{""BITTER"":{""obtained"":false,""name"":""???"",""desc"":"""",""date"":""""},""SWEET"":{""obtained"":false,""name"":""???"",""desc"":"""",""date"":""""},""BALANCED"":{""obtained"":true,""name"":""銀頂針"",""desc"":""職人、父親、丈夫。\n這根針，縫起了他的一生。"",""date"":""2026-02-10""}}"
U31a67f4ee121deb866b5ddc1579ee1a7,1,cooking,"[""失憶"",""迷茫""]","[""origin""]",2026-02-10T05:19:10.674Z,[],"{""BITTER"":{""obtained"":false,""name"":""???"",""desc"":"""",""date"":""""},""SWEET"":{""obtained"":false,""name"":""???"",""desc"":"""",""date"":""""},""BALANCED"":{""obtained"":false,""name"":""???"",""desc"":"""",""date"":""""}}"
Ufacccadc4684b83ca6ebd016e6812610,1,cooking,"[""失憶"",""迷茫"",""針"",""縫線"",""寒冷"",""裁縫手藝"",""雨聲"",""潮濕"",""銀座的驕傲"",""空蕩的店""]","[""origin"",""hands_part1"",""hands_part2"",""rain"",""hands_pride"",""twilight_artisan""]",2026-02-10T05:19:15.001Z,[],"{""BITTER"":{""obtained"":false,""name"":""???"",""desc"":"""",""date"":""""},""SWEET"":{""obtained"":false,""name"":""???"",""desc"":"""",""date"":""""},""BALANCED"":{""obtained"":false,""name"":""???"",""desc"":"""",""date"":""""}}"
U5ced00913404ec8c0b44e56137eb30bc,3,after,"[""失憶"",""迷茫"",""針"",""縫線"",""寒冷"",""裁縫手藝"",""銀座的驕傲"",""空蕩的店"",""雨聲"",""潮濕"",""寧靜"",""陪伴"",""蜜糖笑容"",""女兒-美雪"",""婚紗"",""眼淚"",""雪"",""死亡"",""最後一針"",""閣樓"",""執念"",""美雪的笑容"",""第一次叫爸爸"",""缺席的典禮""]","[""origin"",""hands_part1"",""hands_part2"",""hands_pride"",""twilight_artisan"",""rain"",""silence"",""cooking_soup_part1"",""cooking_soup_part2"",""transition_expand_1"",""transition_expand_2"",""transition_expand_3"",""transition_expand_4"",""transition_expand_5"",""transition_expand_6"",""transition_expand_7"",""transition_expand_8"",""transition_expand_9"",""transition_expand_10"",""transition_expand_11"",""dream_part1"",""dream_part2"",""dream_part3"",""death"",""snow_then"",""search"",""miyuki_childhood"",""ceremony_rift"",""day2_after_honey_1"",""day2_after_honey_3"",""day2_after_honey_6"",""day2_to_day3_transition_1"",""day2_to_day3_transition_2"",""day2_to_day3_transition_3"",""day2_to_day3_transition_4"",""day2_to_day3_transition_7"",""cooking_final_part1"",""cooking_final_part2""]",2026-02-10T06:46:04.691Z,"[""熱湯"",""蜜汁燉菜"",""百味蜜汁炙燒魚""]","{""BITTER"":{""obtained"":true,""name"":""彎曲的縫紉針"",""desc"":""一生的重量，都在這根針上。\n它撐不住了。"",""date"":""2026-02-10""},""SWEET"":{""obtained"":false,""name"":""???"",""desc"":"""",""date"":""""},""BALANCED"":{""obtained"":false,""name"":""???"",""desc"":"""",""date"":""""}}"
U38a5fbc94c5d2998dea05ab68f313328,1,after,"[""寧靜"",""陪伴"",""失憶"",""迷茫"",""針"",""縫線"",""寒冷"",""裁縫手藝"",""空蕩的店"",""雨聲"",""潮濕""]","[""silence"",""origin"",""hands_part1"",""hands_part2"",""twilight_artisan"",""rain"",""cooking_tea_part1"",""cooking_tea_part2"",""cooking_tea_part3"",""transition_expand_1"",""transition_expand_2"",""transition_expand_3"",""transition_expand_4"",""transition_expand_5"",""transition_expand_6"",""transition_expand_7""]",2026-02-10T06:29:09.012Z,"[""熱茶""]","{""BITTER"":{""obtained"":false,""name"":""???"",""desc"":"""",""date"":""""},""SWEET"":{""obtained"":false,""name"":""???"",""desc"":"""",""date"":""""},""BALANCED"":{""obtained"":false,""name"":""???"",""desc"":"""",""date"":""""}}"
U939eb92b10be5ffe14d06afcca650243,2,after,"[""寧靜"",""陪伴"",""失憶"",""迷茫"",""雨聲"",""潮濕"",""針"",""縫線"",""寒冷"",""裁縫手藝"",""銀座的驕傲"",""空蕩的店"",""蜜糖笑容"",""女兒-美雪"",""婚紗"",""眼淚""]","[""silence"",""origin"",""rain"",""hands_part1"",""hands_part2"",""hands_pride"",""twilight_artisan"",""cooking_soup_part1"",""cooking_soup_part2"",""transition_expand_1"",""transition_expand_2"",""transition_expand_3"",""transition_expand_4"",""transition_expand_5"",""transition_expand_6"",""transition_expand_7"",""transition_expand_8"",""transition_expand_9"",""dream_part1"",""dream_part2"",""dream_part3"",""day2_after_honey_1""]",2026-02-10T08:23:58.828Z,"[""熱湯"",""蜜汁燉菜""]","{""BITTER"":{""obtained"":false,""name"":""???"",""desc"":"""",""date"":""""},""SWEET"":{""obtained"":false,""name"":""???"",""desc"":"""",""date"":""""},""BALANCED"":{""obtained"":false,""name"":""???"",""desc"":"""",""date"":""""}}"
U04c4bad2f5dc1ee2e353422e73066d88,3,cooking,"[""針"",""縫線"",""寒冷"",""裁縫手藝"",""銀座的驕傲"",""空蕩的店"",""失憶"",""迷茫"",""蜜糖笑容"",""女兒-美雪"",""婚紗"",""眼淚"",""美雪的笑容"",""第一次叫爸爸"",""缺席的典禮""]","[""hands_part1"",""hands_part2"",""hands_pride"",""twilight_artisan"",""origin"",""cooking_tea_part1"",""cooking_tea_part2"",""cooking_tea_part3"",""transition_expand_1"",""transition_expand_2"",""transition_expand_3"",""transition_expand_4"",""transition_expand_5"",""transition_expand_6"",""transition_expand_7"",""transition_expand_8"",""transition_expand_9"",""transition_expand_10"",""transition_expand_11"",""dream_part1"",""dream_part2"",""dream_part3"",""miyuki_childhood"",""ceremony_rift"",""day2_after_honey_1"",""day2_after_honey_2"",""day2_after_honey_6"",""day2_to_day3_transition_1"",""day2_to_day3_transition_2"",""day2_to_day3_transition_3"",""day2_to_day3_transition_5"",""day2_to_day3_transition_7""]",2026-02-10T08:34:48.682Z,"[""熱茶"",""蜜汁燉菜""]","{""BITTER"":{""obtained"":false,""name"":""???"",""desc"":"""",""date"":""""},""SWEET"":{""obtained"":false,""name"":""???"",""desc"":"""",""date"":""""},""BALANCED"":{""obtained"":false,""name"":""???"",""desc"":"""",""date"":""""}}"